battle,plan
one,"s2s3,attack_2,np2_1"
two,"s1s2,s1s3,s2s3,attack_2,np2_1"
three,"s1s1,tt3,msb,ms3,changes2,changes5,s2s1,s2s3,tt3,msb,ms1,s3s1,s3s2,s3s3,attack_2,np3_1"
