battle,plan
one,"msb,ms2,attack"
two,"s1s1,tt2,attack"
three,"s1s3,s2s3,s2s2,s2s1,s3s3,s3s2,tt3,s3s1,msb,ms1,attack_2,np3_1,np1_1,np2_1"
